order_id,product,category,city,quantity,price,order_date,salesperson
5001,Laptop,Electronics,Hyderabad,2,55000,2024-01-10,Rahul
5002,Mouse,Electronics,Chennai,5,800,2024-01-12,Sneha
5003,Desk Chair,Furniture,Bangalore,1,7000,2024-01-13,Arjun
5004,Monitor,Electronics,Hyderabad,3,12000,2024-01-14,Karthik
5005,Notebook,Stationery,Delhi,10,120,2024-01-15,Meera
5006,Pen Pack,Stationery,Chennai,8,250,2024-01-16,Pooja
5007,Table,Furniture,Mumbai,1,15000,2024-01-17,Vikram
5008,Keyboard,Electronics,Pune,4,1500,2024-01-18,Divya
5009,Printer,Electronics,Bangalore,1,18000,2024-01-19,Rahul
5010,Bookshelf,Furniture,Hyderabad,1,9000,2024-01-20,Akhil
5011,Laptop,Electronics,Delhi,1,60000,2024-01-21,Sneha
5012,Notebook,Stationery,Hyderabad,15,100,2024-01-22,Karthik
